category,task_id,model,condition,energy_j,runtime_s,mem_mb
algorithms_computation,AC-006,deepseek,ONE_SHOT,0.3664,0.0319,9.73828125
algorithms_computation,AC-006,gemini,BUG_FIX,0.5382,0.0642,10.19921875
algorithms_computation,AC-006,gemini,EDGE_CASE,0.3888,0.032,10.18359375
algorithms_computation,AC-006,gemini,FEATURE_ADDITION,0.5495,0.0641,10.18359375
algorithms_computation,AC-006,gemini,FULL_MULTI_TURN,0.4673,0.0642,10.0703125
algorithms_computation,AC-006,gemini,ONE_SHOT,0.643,0.0641,10.05859375
algorithms_computation,AC-006,gpt,EDGE_CASE,0.4802,0.0641,10.51171875
algorithms_computation,AC-006,gpt,FEATURE_ADDITION,0.4917,0.0641,10.53125
algorithms_computation,AC-006,gpt,FULL_MULTI_TURN,0.6034,0.0641,10.671875
algorithms_computation,AC-006,gpt,ONE_SHOT,0.2943,0.032,9.63671875
algorithms_computation,AC-007,claude,BUG_FIX,0.5499,0.0641,10.609375
algorithms_computation,AC-007,claude,FEATURE_ADDITION,0.613,0.0641,12.5390625
algorithms_computation,AC-007,claude,FULL_MULTI_TURN,1.0148,0.1141,15.42578125
algorithms_computation,AC-007,claude,ONE_SHOT,0.3733,0.0319,9.4453125
algorithms_computation,AC-007,deepseek,BUG_FIX,0.6799,0.064,12.328125
algorithms_computation,AC-007,deepseek,EDGE_CASE,0.6639,0.0641,10.92578125
algorithms_computation,AC-007,deepseek,FEATURE_ADDITION,0.6549,0.0641,12.6640625
algorithms_computation,AC-007,deepseek,FULL_MULTI_TURN,0.5309,0.0641,12.17578125
algorithms_computation,AC-007,deepseek,ONE_SHOT,0.6165,0.064,12.55078125
algorithms_computation,AC-007,gemini,BUG_FIX,0.4347,0.064,9.5625
algorithms_computation,AC-007,gemini,EDGE_CASE,0.5749,0.0642,9.57421875
algorithms_computation,AC-007,gemini,FEATURE_ADDITION,0.4299,0.064,9.6875
algorithms_computation,AC-007,gemini,FULL_MULTI_TURN,0.547,0.0642,9.78515625
algorithms_computation,AC-007,gemini,ONE_SHOT,0.5074,0.0643,9.61328125
algorithms_computation,AC-007,gpt,BUG_FIX,0.5171,0.0642,10.4140625
algorithms_computation,AC-007,gpt,EDGE_CASE,0.5585,0.0641,10.67578125
algorithms_computation,AC-007,gpt,FEATURE_ADDITION,0.5275,0.0641,10.5625
algorithms_computation,AC-007,gpt,FULL_MULTI_TURN,0.5847,0.0642,10.7890625
algorithms_computation,AC-007,gpt,ONE_SHOT,0.4958,0.064,10.42578125
algorithms_computation,AC-008,claude,BUG_FIX,0.5634,0.064,10.55078125
algorithms_computation,AC-008,claude,EDGE_CASE,0.5945,0.0641,10.92578125
algorithms_computation,AC-008,claude,FEATURE_ADDITION,0.5711,0.0641,10.67578125
algorithms_computation,AC-008,claude,FULL_MULTI_TURN,1.0357,0.1142,11.5625
algorithms_computation,AC-008,claude,ONE_SHOT,0.6123,0.0641,10.54296875
algorithms_computation,AC-008,deepseek,BUG_FIX,0.3375,0.0321,9.44921875
algorithms_computation,AC-008,deepseek,EDGE_CASE,0.4105,0.0319,9.51171875
algorithms_computation,AC-008,deepseek,FEATURE_ADDITION,0.2815,0.0319,9.63671875
algorithms_computation,AC-008,deepseek,FULL_MULTI_TURN,0.4607,0.0639,10.7265625
algorithms_computation,AC-008,deepseek,ONE_SHOT,0.5337,0.0641,10.83203125
algorithms_computation,AC-008,gemini,BUG_FIX,0.5398,0.064,9.63671875
algorithms_computation,AC-008,gemini,EDGE_CASE,0.5643,0.0642,10.38671875
